gamma_index,gamma_value,error
9828,9544.72692792,0.18347834783526196
9829,9544.89677154,0.14139413941484236
9830,9545.00099437,0.006820682068791939
9831,9545.07245729,0.07826782678239397
9832,9545.22369049,0.01830183018319076
9833,9545.38856382,0.1465546554663888
9834,9545.52835002,0.10515051505171868
9835,9545.63373178,0.1667966796685505
9836,9545.78985841,0.11623162316209346
9837,9545.87531796,0.01270127012685407
9838,9546.06851665,0.14759475947721512
9839,9546.10119614,0.18027802780306956
9840,9546.25090517,0.1457145714575745
9841,9546.37142886,0.1936793679378752
9842,9546.51460923,0.08766876687695913
9843,9546.55131613,0.12435243524487305
9844,9546.74040128,0.049384938494767994
9845,9546.98554999,0.19575957595770888
9846,9547.08200411,0.17551755175554717
9847,9547.17781862,0.19507950795195939
9848,9547.34350245,0.19071907190846105
9849,9547.53928063,0.167676767678131
9850,9547.70108118,0.12607260726144887
9851,9547.79206865,0.03510351035038184
9852,9547.93184136,0.10467046704798122
9853,9548.03151255,0.1781978197832359
9854,9548.19403493,0.02966296629710996
9855,9548.29042273,0.06674667466722894
9856,9548.36891707,0.14523452345201804
9857,9548.49788004,0.18923892389284447
9858,9548.54119693,0.19451945194668951
9859,9548.75046864,0.11471147114752966
9860,9548.81183107,0.053345334534242284
9861,9549.03442592,0.169236923693461
9862,9549.21137644,0.006300630062469281
9863,9549.28378049,0.07870787078718422
9864,9549.47755517,0.19739973997457128
9865,9549.60399556,0.039303930392634356
9866,9549.70753123,0.1262726272634609
9867,9549.89603677,0.062226222622484784
9868,9549.9866162,0.16151615161652444
9869,9550.13217558,0.015941594159812666
9870,9550.23843914,0.09030903090388165
9871,9550.43120395,0.06306630663129908
9872,9550.54656478,0.09194919491892506
9873,9550.67192566,0.033423342334572226
9874,9550.88125658,0.042584258426359156
9875,9550.998221,0.1595559555953514
9876,9551.19152686,0.19643964396527736
9877,9551.36620149,0.18247824782520183
9878,9551.43262676,0.16663666366730467
9879,9551.51759084,0.07146714671580412
9880,9551.66652172,0.08538853885329445
9881,9551.84278835,0.12419241924180824
9882,9551.95701793,0.1659565956597362
9883,9552.10641013,0.195199519952439
9884,9552.2449557,0.18851885188632878
9885,9552.38063378,0.1028302830291068
9886,9552.60614915,0.16103610361096798
9887,9552.73014666,0.03702370237078867
9888,9552.78084423,0.01366136613614799
9889,9552.86846536,0.1012701270137768
9890,9552.96398169,0.0721072107207874
9891,9553.09911508,0.06334633463302453
9892,9553.19184891,0.02938293829356553
9893,9553.34676021,0.18431843184407626
9894,9553.49220379,0.1546354635465832
9895,9553.66831936,0.021502150215383153
9896,9553.71851988,0.07170717071676336
9897,9553.87841274,0.12979297929814493
9898,9554.07098888,0.13971397139721375
9899,9554.20713482,0.17267726772661263
9900,9554.2817731,0.18239823982548842
9901,9554.50905271,0.1715971597168391
9902,9554.60155464,0.18579857985787385
9903,9554.71212062,0.17531753175353515
9904,9554.91725861,0.190319031904437
